L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack
51482,22,6,92.0,22252,167,26771,155,27,27,27,4293014,1953,1953,63,63,1028,52,52,1028,942895363288.0,11503115033765.0,8248,48,6890,30,128000,152000,245,49,7,14,7,26883,26847,14336,56,0,0,0,0,1,SSH-Bruteforce
37678,22,6,92.0,3184,24,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3184.0,3765.0,0,0,0,0,25472000,30120000,34,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
49140,22,6,92.0,3132,23,3817,22,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3817.0,0,0,0,0,25056000,30536000,34,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
43946,22,6,92.0,3148,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3869.0,0,0,0,0,25184000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
36234,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
46468,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
50164,22,6,92.0,3132,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3869.0,0,0,0,0,25056000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
34612,22,6,92.0,3112,22,3817,22,27,27,27,0,0,0,63,63,1028,52,52,1028,3112.0,3817.0,0,0,0,0,24896000,30536000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
57636,22,6,92.0,3164,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3164.0,3765.0,0,0,0,0,25312000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
58142,22,6,92.0,3148,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3869.0,0,0,0,0,25184000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
