log_id,user,action,device,location,anomaly_score,timestamp
1,user_83,Suspicious Command,Windows,UK,0.69,2024-01-01 00:00:00
2,user_89,VPN Access,Mac,UK,0.02,2024-01-01 00:01:00
3,user_69,Failed Login,Windows,India,0.45,2024-01-01 00:02:00
4,user_52,Privilege Escalation,Android,China,0.4,2024-01-01 00:03:00
5,user_83,Suspicious Command,Mac,Germany,0.66,2024-01-01 00:04:00
6,user_29,Suspicious Command,Android,USA,0.0,2024-01-01 00:05:00
7,user_3,Data Exfiltration,Windows,USA,0.02,2024-01-01 00:06:00
8,user_38,Data Exfiltration,Linux,China,0.05,2024-01-01 00:07:00
9,user_80,File Access,Windows,Germany,0.83,2024-01-01 00:08:00
10,user_86,Privilege Escalation,Mac,Germany,0.91,2024-01-01 00:09:00
11,user_96,File Access,Linux,USA,0.54,2024-01-01 00:10:00
12,user_38,Privilege Escalation,Mac,USA,0.23,2024-01-01 00:11:00
13,user_78,Privilege Escalation,iOS,Russia,0.75,2024-01-01 00:12:00
14,user_30,VPN Access,Windows,Germany,0.81,2024-01-01 00:13:00
15,user_25,Privilege Escalation,iOS,USA,0.31,2024-01-01 00:14:00
16,user_59,File Access,iOS,China,0.73,2024-01-01 00:15:00
17,user_57,VPN Access,Android,China,0.24,2024-01-01 00:16:00
18,user_51,Privilege Escalation,iOS,USA,0.2,2024-01-01 00:17:00
19,user_42,Suspicious Command,Linux,China,0.54,2024-01-01 00:18:00
20,user_53,File Access,Mac,Germany,0.38,2024-01-01 00:19:00
21,user_61,VPN Access,Mac,Germany,0.37,2024-01-01 00:20:00
22,user_53,Suspicious Command,Android,UK,0.79,2024-01-01 00:21:00
23,user_72,Privilege Escalation,Linux,UK,0.83,2024-01-01 00:22:00
24,user_24,File Access,iOS,UK,0.31,2024-01-01 00:23:00
25,user_86,Login,Android,Russia,0.7,2024-01-01 00:24:00
26,user_43,Suspicious Command,Android,China,0.47,2024-01-01 00:25:00
27,user_84,VPN Access,Mac,Germany,0.01,2024-01-01 00:26:00
28,user_77,File Access,Linux,Russia,0.25,2024-01-01 00:27:00
29,user_24,Suspicious Command,Windows,UK,0.56,2024-01-01 00:28:00
30,user_3,File Access,iOS,USA,0.01,2024-01-01 00:29:00
